"","Age","Year","Value"
"1",10,1981,1386227
"2",11,1981,1477810
"3",12,1981,1435328
"4",13,1981,1444454
"5",14,1981,1401451
"6",15,1981,1409796
"7",16,1981,1434909
"8",17,1981,1408905
"9",18,1981,1373348
"10",19,1981,1198438
"11",20,1981,1127958
"12",21,1981,1138138
"13",22,1981,1058490
"14",23,1981,1065642
"15",24,1981,984722
"16",25,1981,953765
"17",26,1981,928291
"18",27,1981,929910
"19",28,1981,849610
"20",29,1981,830588
"21",30,1981,855969
"22",31,1981,806253
"23",32,1981,767692
"24",33,1981,755478
"25",34,1981,690588
"26",35,1981,672403
"27",36,1981,673967
"28",37,1981,616425
"29",38,1981,609740
"30",39,1981,604140
"31",40,1981,611037
"32",41,1981,638407
"33",42,1981,594268
"34",43,1981,535350
"35",44,1981,544990
"36",45,1981,538988
"37",46,1981,517691
"38",47,1981,462438
"39",48,1981,454445
"40",49,1981,450251
"41",50,1981,454313
"42",51,1981,458533
"43",52,1981,446388
"44",53,1981,394914
"45",54,1981,378103
"46",55,1981,380088
"47",56,1981,366940
"48",57,1981,336686
"49",58,1981,303905
"50",59,1981,315432
"51",60,1981,300844
"52",61,1981,271416
"53",62,1981,232658
"54",63,1981,244881
"55",64,1981,208352
"56",65,1981,229701
"57",66,1981,233613
"58",67,1981,198316
"59",68,1981,202930
"60",69,1981,164776
"61",70,1981,192900
"62",71,1981,154894
"63",72,1981,128948
"64",73,1981,116152
"65",74,1981,114760
"66",75,1981,106792
"67",76,1981,93890
"68",77,1981,71904
"69",78,1981,61384
"70",79,1981,56498
"71",80,1981,58253
"72",81,1981,51152
"73",82,1981,24293
"74",83,1981,21994
"75",84,1981,19216
"76",85,1981,17383
"77",86,1981,15011
"78",87,1981,14762
"79",88,1981,10926
"80",89,1981,6765
"81",90,1981,7800
"82",91,1981,4853
"83",92,1981,4833
"84",93,1981,3362
"85",94,1981,1325
"86",95,1981,393
"87",96,1981,2283
"88",97,1981,1998
"89",98,1981,3036
"90",99,1981,113
"91",100,1981,1505
